Company_Identifier,CompanyName,Year,URL,Source_Page,Title,Source
S25,SKF B,2023,https://mb.cision.com/Public/637/3939698/bef1745de6474f03.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2023-published-online-on-track-to-deliver-on-2030-sustainability-target-4935e7bd,Annual Report 2023 (MFN/Cision),mfn
S25,SKF B,2023,https://mb.cision.com/Main/637/3919547/2572629.pdf,https://mfn.se/cis/a/skf/skf-year-end-report-2023-strategy-execution-yielding-strong-performance-f8d31cd8,Annual Report 2023 (MFN/Cision),mfn
S25,SKF B,2023,https://mb.cision.com/Main/637/3863980/2390093.pdf,https://mfn.se/cis/a/skf/skf-nine-month-report-2023-resilient-margins-and-strong-cash-flow-despite-slowdown-in-demand-f622cc63,Annual Report 2023 (MFN/Cision),mfn
S25,SKF B,2024,https://mb.cision.com/Main/637/4115866/3306976.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2024-published-online-significant-decarbonization-milestone-reached-fbe423f5,Annual Report 2024 (MFN/Cision),mfn
S25,SKF B,2024,https://mb.cision.com/Public/637/4115866/800d081206644e26.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2024-published-online-significant-decarbonization-milestone-reached-fbe423f5,Annual Report 2024 (MFN/Cision),mfn
S23,SEB A,2020,https://mb.cision.com/Main/4324/3298906/1381441.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-and-sustainability-report-for-2020-6495af24,Annual Report 2020 (MFN/Cision),mfn
S23,SEB A,2021,https://mb.cision.com/Main/4324/3516765/1542756.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-and-sustainability-report-for-2021-815fc7aa,Annual Report 2021 (MFN/Cision),mfn
S23,SEB A,2021,https://mb.cision.com/Main/4324/3317086/1395223.pdf,https://mfn.se/cis/a/seb/sebs-annual-general-meeting-2021-7bf00d25,Annual Report 2021 (MFN/Cision),mfn
S23,SEB A,2023,https://mb.cision.com/Main/4324/3936474/2631963.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-and-sustainability-report-2023-1eb06d7f,Annual Report 2023 (MFN/Cision),mfn
S23,SEB A,2023,https://mb.cision.com/Public/4324/3936474/b26c435c64e74fa8.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-and-sustainability-report-2023-1eb06d7f,Annual Report 2023 (MFN/Cision),mfn
S23,SEB A,2023,https://mb.cision.com/Public/4324/3936474/81b553956b9afc51.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-and-sustainability-report-2023-1eb06d7f,Annual Report 2023 (MFN/Cision),mfn
S23,SEB A,2023,https://mb.cision.com/Main/4324/3746142/1968941.pdf,https://mfn.se/cis/a/seb/sebs-annual-general-meeting-2023-aa840039,Annual Report 2023 (MFN/Cision),mfn
S23,SEB A,2024,https://mb.cision.com/Main/4324/4117258/3314101.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-report-2024-67cfbf3b,Annual Report 2024 (MFN/Cision),mfn
S23,SEB A,2024,https://mb.cision.com/Public/4324/4117258/a2fe912608d62c42.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-report-2024-67cfbf3b,Annual Report 2024 (MFN/Cision),mfn
S23,SEB A,2024,https://mb.cision.com/Public/4324/4117258/9691bdcf3bf1271f.pdf,https://mfn.se/cis/a/seb/seb-publishes-annual-report-2024-67cfbf3b,Annual Report 2024 (MFN/Cision),mfn
S23,SEB A,2024,https://mb.cision.com/Main/4324/3948380/2679737.pdf,https://mfn.se/cis/a/seb/sebs-annual-general-meeting-2024-10352535,Annual Report 2024 (MFN/Cision),mfn
S22,SCA B,2019,https://mb.cision.com/Public/600/3053862/a07fc90fba30a74a.pdf,https://mfn.se/cis/a/sca/sca-publishes-annual-report-for-2019-reports-benefits-for-society-and-climate-ea58be4c,Annual Report 2019 (MFN/Cision),mfn
S22,SCA B,2019,https://mb.cision.com/Main/600/3053862/1206818.pdf,https://mfn.se/cis/a/sca/sca-publishes-annual-report-for-2019-reports-benefits-for-society-and-climate-ea58be4c,Annual Report 2019 (MFN/Cision),mfn
S22,SCA B,2020,https://mb.cision.com/Main/600/3308556/1388439.pdf,https://mfn.se/cis/a/sca/sca-publishes-annual-report-for-2020-with-long-term-sustainability-targets-d8811cb0,Annual Report 2020 (MFN/Cision),mfn
S22,SCA B,2020,https://mb.cision.com/Public/600/3308556/b3abd2a193996320.pdf,https://mfn.se/cis/a/sca/sca-publishes-annual-report-for-2020-with-long-term-sustainability-targets-d8811cb0,Annual Report 2020 (MFN/Cision),mfn
S22,SCA B,2020,https://mb.cision.com/Main/600/3039045/1196614.pdf,https://mfn.se/cis/a/sca/notice-of-the-sca-annual-general-meeting-2020-7d313df3,Annual Report 2020 (MFN/Cision),mfn
S22,SCA B,2020,https://www.euroclear.com/dam/ESw/Legal/Privacy-notice-bolagsstammor-engelska.pdf,https://mfn.se/cis/a/sca/notice-of-the-sca-annual-general-meeting-2020-7d313df3,Annual Report 2020 (MFN/Cision),mfn
