Instalco	SEK	26.44	-0.52	-1.92%	26.46	26.50	306,141	8,157,696	18:00:00
Intea Fastigheter B	SEK	67.90	+0.45	+0.66%	67.70	67.95	281,347	19,059,834	18:00:00
Intea Fastigheter D	SEK	32.50	+0.05	+0.15%	32.45	32.50	18,262	592,673	18:00:00
International Petroleum Corp.	SEK	174.30	+1.70	+0.98%	174.60	174.90	91,758	15,905,275	18:00:00
Intrum	SEK	46.28	+1.05	+2.32%	46.25	46.27	930,842	42,808,906	18:00:00
Investor A	SEK	348.10	+1.70	+0.49%	347.40	347.70	307,933	106,630,191	18:00:00
Investor B	SEK	349.35	+1.55	+0.44%	349.15	349.20	3,507,053	1,220,963,780	18:00:00
INVISIO	SEK	307.00	+3.00	+0.98%	306.50	307.50	89,987	27,667,769	18:00:00
Inwido	SEK	163.00	-0.70	-0.42%	163.50	163.80	118,925	19,462,672	18:00:00
IRLAB Therapeutics A	SEK	2.00	0.00	0.00%	1.998	2.00	100,327	199,229	18:00:00
Isofol Medical	SEK	0.712	+0.011	+1.56%	0.702	0.712	190,681	134,942	18:00:00
ITAB Shop Concept	SEK	19.16	+1.08	+5.97%	19.22	19.26	838,655	15,748,734	18:00:00
JM	SEK	147.70	+1.90	+1.30%	147.60	147.80	129,949	19,101,712	18:00:00
John Mattson Fastighetsföret.	SEK	67.60	-0.40	-0.58%	67.60	67.80	8,868	599,828	18:00:00
K-Fast Holding B	SEK	13.00	-0.20	-1.51%	12.96	13.12	97,009	1,259,063	18:00:00
K2A Knaust & Andersson B	SEK	5.00	+0.20	+4.16%	5.00	5.03	57,797	284,970	18:00:00
KABE Group B	SEK	215.00	-0.50	-0.23%	212.50	215.50	2,359	503,251	18:00:00
Karnell Group B	SEK	70.50	+1.10	+1.58%	70.50	71.10	119,764	8,375,113	18:00:00
Karnov Group	SEK	106.20	0.00	0.00%	105.60	106.40	40,131	4,265,895	18:00:00
Karolinska Development B	SEK	0.311	-0.002	-0.63%	0.3115	0.312	608,583	189,144	18:00:00
Kinnevik A	SEK	84.50	+0.10	+0.11%	84.80	85.00	5,077	427,299	18:00:00
Kinnevik B	SEK	84.06	+0.36	+0.43%	84.12	84.18	836,655	70,106,285	18:00:00
KlaraBo Sverige B	SEK	17.20	+0.02	+0.11%	17.20	17.24	268,211	4,603,425	18:00:00
Knowit	SEK	120.00	+0.20	+0.16%	119.80	120.40	14,177	1,701,949	18:00:00
Lagercrantz Group B	SEK	199.40	-2.80	-1.38%	199.80	200.00	238,045	47,498,526	18:00:00
Lammhults Design Group B	SEK	35.50	-0.10	-0.28%	35.20	35.50	11,339	401,497	18:00:00
Latour B	SEK	234.30	+1.10	+0.47%	233.60	233.70	324,231	75,849,491	18:00:00
Lifco B	SEK	334.80	-0.80	-0.23%	333.80	334.00	617,087	205,980,349	18:00:00
Lime Technologies	SEK	280.00	+3.00	+1.08%	279.00	279.50	17,707	4,953,783	18:00:00
Lindab International	SEK	198.00	-2.00	-1.00%	197.10	197.80	58,135	11,510,357	18:00:00
Logistea A	SEK	14.35	0.00	0.00%			718	10,235	18:00:00
Logistea B	SEK	14.52	0.00	0.00%	14.46	14.50	565,960	8,207,295	18:00:00
Loomis	SEK	380.20	-0.80	-0.20%	378.80	379.00	99,980	38,000,578	18:00:00
Lundbergföretagen B	SEK	535.00	-1.00	-0.18%	534.00	534.50	129,779	69,252,820	18:00:00
Lundin Gold	SEK	779.50	-20.50	-2.56%	779.50	781.50	240,992	189,237,802	18:00:00
Lundin Mining Corporation	SEK	226.60	-3.20	-1.39%	226.00	226.40	585,018	131,330,568	18:00:00
Maha Capital	SEK	11.44	+0.58	+5.34%	11.42	11.44	1,344,647	15,181,553	18:00:00
Malmbergs Elektriska B	SEK	34.00	-1.10	-3.13%	33.90	34.00	9,753	334,445	18:00:00
Mangold	SEK	1,880.00	-40.00	-2.08%	1,880.00	1,940.00	1	1,880	18:00:00
MedCap	SEK	524.00	+2.00	+0.38%	522.00	524.00	9,671	5,065,520	18:00:00
Medicover B	SEK	211.50	+0.50	+0.23%	211.50	212.00	66,356	14,002,345	18:00:00
Medivir	SEK	0.51	+0.02	+4.08%	0.504	0.509	2,012,493	991,367	18:00:00
MEKO	SEK	71.10	-0.40	-0.55%	71.30	71.40	113,159	8,046,160	18:00:00
Mendus	SEK	5.98	-0.01	-0.16%	5.75	5.98	19,122	113,231	18:00:00
